"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","C_STAT","","","","Capacitor_SMD:C_1210_3225Metric","~"
"C2","1","C_PVL","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C3","1","C_AVL","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C4","1","C_BST2","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C5","1","C_BST1","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C6","1","C_BATT","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C7","1","C_OUT1","","","","Capacitor_SMD:C_1210_3225Metric","~"
"C8","1","C_OUT2","","","","Capacitor_SMD:C_1210_3225Metric","~"
"C9","1","C_CHGIN","","","","Capacitor_SMD:C_1210_3225Metric","~"
"C10","1","C_CSINN","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C11","1","C_CINP","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C12","1","C_DIFF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C13","1","C_SYSA","","","","Capacitor_SMD:C_0402_1005Metric","~"
"CN2,CN3,CN4","3","B04B-XNISK-A-1(LF)(SN)","","","","Connector_JST:JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical","https://atta.szlcsc.com/upload/public/pdf/source/20180918/C274405_29654823F7BD1BD908653C870679B965.pdf"
"CN7","1","XH2.54-5PIN","","","","Connector_JST:JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical",""
"CN8,CN9","2","A2502-WV02","","","","Connector_JST:JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical",""
"CN10","1","BATT","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"CN11","1","CHGIN","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"D2","1","SS510","","","","ProDoc_Board1_2025-09-03:SMA_L4.3-W2.6-LS5.0-RD","https://atta.szlcsc.com/upload/public/pdf/source/20240805/ACE1A522D503C292B423E4157182ACBE.pdf"
"D3","1","D_Schottky_Small","","","","Diode_SMD:D_SOD-323","~"
"H1","1","2.54mm 2*20P直排针","","","","ProDoc_Board1_2025-09-03:HDR-TH_40P-P2.54-V-M-R2-C20-S2.54","https://atta.szlcsc.com/upload/public/pdf/source/20151109/1457707572823.pdf"
"J1","1","Conn_01x05_Pin","","","","Connector_JST:JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical","~"
"J2","1","Conn_01x02_Pin","","","","Connector_JST:JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical","~"
"L1","1","L","","","","ProDoc_Board1_2025-09-03:CMLE063T-2R2MS","~"
"NT2","1","NetTie_2","","Excluded from BOM","","","~"
"R1","1","R_OTGEN","","","","Resistor_SMD:R_0402_1005Metric","~"
"R2","1","R_DISQBAT","","","","Resistor_SMD:R_0402_1005Metric","~"
"R3","1","R_STBY","","","","Resistor_SMD:R_0402_1005Metric","~"
"R4","1","R_TB","","","","Resistor_SMD:R_0402_1005Metric","~"
"R5","1","R_ISET","","","","Resistor_SMD:R_0402_1005Metric","~"
"R6","1","R_INOKB","","","","Resistor_SMD:R_0402_1005Metric","~"
"R7","1","R_STAT","","","","Resistor_SMD:R_0402_1005Metric","~"
"R8","1","R_PVL","","","","Resistor_SMD:R_0402_1005Metric","~"
"R9","1","R_INLIM","","","","Resistor_SMD:R_0402_1005Metric","~"
"R10","1","R_ITO","","","","Resistor_SMD:R_0402_1005Metric","~"
"R11","1","R_VSET","","","","Resistor_SMD:R_0402_1005Metric","~"
"R12","1","R_INTB","","","","Resistor_SMD:R_0402_1005Metric","~"
"R13","1","R_SDA","","","","Resistor_SMD:R_0402_1005Metric","~"
"R14","1","R_SCL","","","","Resistor_SMD:R_0402_1005Metric","~"
"R15","1","R_SENSE","","","","Resistor_SMD:R_1206_3216Metric","~"
"R16","1","R_CSINP","","","","Resistor_SMD:R_0402_1005Metric","~"
"R17","1","R_CINN","","","","Resistor_SMD:R_0402_1005Metric","~"
"U1","1","MAX77961EFV06+","","","","ProDoc_Board1_2025-09-03:MAX77961","MAX77961EFV06+"
"U3","1","Ra-02","","","","ProDoc_Board1_2025-09-03:WIRELM-SMD_RA-02-BL","https://atta.szlcsc.com/upload/public/pdf/source/20181018/C90039_B5D7ADB38ADA1100C85850A55553934D.pdf"
"U4","1","XL 4005","","","","ProDoc_Board1_2025-09-03:COMM-SMD_MINI5605V5A",""
